ConditionTypeText	BodyColorText	ID	MakeText	ModelText	ModelTypeText	TypeName	TypeNameFull	BodyTypeText	Ccm	City	Co2EmissionText	ConsumptionRatingText	ConsumptionTotalText	Doors	DriveTypeText	FirstRegMonth	FirstRegYear	FuelTypeText	Hp	InteriorColorText	Km	Properties	Seats	TransmissionTypeText	BodyColorTextShort	BodyColorTextEng	ConditionTypeTextEng	MakeTextNorm	extracted-value-ConsumptionTotalText	extracted-unit-ConsumptionTotalText
Occasion	anthrazit	1.0	MERCEDES-BENZ	E 320	E 320 Elégance 4-Matic	E 320 Elégance 4-Matic	MERCEDES-BENZ E 320 Elégance 4-Matic	Limousine	3199	Zuzwil	275 g/km	null	11.5 l/100km	4	Allrad	1	1999	Benzin	224	grau	31900	"\"Ab MFK\""	5	Automat	anthrazit	Anthracite	Occasion	Mercedes-benz	11.5	l/100km
Oldtimer	anthrazit mét.	10.0	LAMBORGHINI	""	Espada GT 400 Serie 3	Espada GT 400 Serie 3	LAMBORGHINI Espada GT 400 Serie 3	Coupé	3929	Zuzwil	null	null	null	2	Hinterradantrieb	4	1973	Benzin	350	schwarz	48000	"\"Ab MFK\""	4	Schaltgetriebe	anthrazit	Anthracite	Antique Car	Lamborghini	null	""
Occasion	blau mét.	100.0	FERRARI	F360	F360 Modena Berlinetta	F360 Modena Berlinetta	FERRARI F360 Modena Berlinetta	Coupé	3586	Zuzwil	440 g/km	G	19.3 l/100km	2	Hinterradantrieb	2	2004	Benzin	400	beige	42600	"\"Ab MFK\""	2	Automatisiertes Schaltgetriebe	blau	Blue	Occasion	Ferrari	19.3	l/100km
Occasion	silber mét.	1000.0	ALFA ROMEO	8C	8C	null	ALFA ROMEO 8C	Cabriolet	4691	Porrentruy	null	null	null	2	Hinterradantrieb	4	2011	Benzin	450	schwarz	23900	"\"Ab MFK\""	0	Automatik-Getriebe	silber	Silver	Occasion	Alfa Romeo	null	""
Occasion	silber mét.	1001.0	BMW	2002	2002 Turbo	Turbo	BMW 2002 Turbo	Limousine	1977	Zuzwil	null	null	null	2	Hinterradantrieb	3	1974	Benzin	170	schwarz	97100	"\"Ab MFK\""	4	Schaltgetriebe	silber	Silver	Occasion	Bmw	null	""
Occasion	silber mét.	1002.0	DATSUN	""	SPORTS 2000	SPORTS 2000	DATSUN SPORTS 2000	Cabriolet	2000	Zuzwil	null	null	null	2	null	7	1969	Benzin	143	schwarz	23300	"\"Ab MFK\""	2	null	silber	Silver	Occasion	Datsun	null	""
Occasion	silber mét.	1003.0	AUDI	A8	A8 4.2 quattro	A8 4.2 quattro	AUDI A8 4.2 quattro	Limousine	4172	Zuzwil	322 g/km	null	13.5 l/100km	4	Allrad	1	1997	Benzin	300	schwarz	66300	"\"Ab MFK\""	5	Automat	silber	Silver	Occasion	Audi	13.5	l/100km
Occasion	silber mét.	1004.0	LAMBORGHINI	GALLARDO	Gallardo 5.0 V10 Coupé SE	Gallardo 5.0 V10 Coupé SE	LAMBORGHINI Gallardo 5.0 V10 Coupé SE	Coupé	4961	Zuzwil	400 g/km	G	17.0 l/100km	2	Allrad	1	2006	Benzin	520	schwarz	20000	"\"Ab MFK\""	2	Automatisiertes Schaltgetriebe	silber	Silver	Occasion	Lamborghini	17.0	l/100km
Occasion	silber mét.	1005.0	MERCEDES-BENZ	280	280 3.5 V8 Cabrio	3.5 V8 Cabrio	MERCEDES-BENZ 280 3.5 V8 Cabrio	Cabriolet	3499	Sursee	null	null	null	2	null	2	1971	Benzin	200	beige	500	null	4	null	silber	Silver	Occasion	Mercedes-benz	null	""
Occasion	silber mét.	1006.0	MERCEDES-BENZ	SL 320	SL 320	SL 320	MERCEDES-BENZ SL 320	Cabriolet	3199	Zuzwil	297 g/km	null	12.5 l/100km	2	Hinterradantrieb	7	1996	Benzin	231	schwarz	156800	"\"Ab MFK\""	2	Automat	silber	Silver	Occasion	Mercedes-benz	12.5	l/100km
Occasion	silber mét.	1007.0	PORSCHE	CAYENNE	Cayenne Turbo	Cayenne Turbo	PORSCHE Cayenne Turbo	SUV / Geländewagen	4511	Zuzwil	378 g/km	G	15.7 l/100km	5	Allrad	4	2004	Benzin	450	schwarz	91600	"\"Ab MFK\""	5	Automat	silber	Silver	Occasion	Porsche	15.7	l/100km
Occasion	silber mét.	1008.0	BMW	745	745i	745i	BMW 745i	Limousine	4398	Zuzwil	276 g/km	G	11.4 l/100km	4	Hinterradantrieb	12	2004	Benzin	333	schwarz	27600	"\"Ab MFK\""	5	Automat sequentiell	silber	Silver	Occasion	Bmw	11.4	l/100km
Occasion	silber mét.	1009.0	PORSCHE	911	911 Carrera 2 RS	911 Carrera 2 RS	PORSCHE 911 Carrera 2 RS	Coupé	3598	Zuzwil	null	null	null	2	Hinterradantrieb	1	1992	Benzin	260	schwarz	123000	"\"Ab MFK\""	2	Schaltgetriebe manuell	silber	Silver	Occasion	Porsche	null	""
Occasion	blau mét.	101.0	PORSCHE	911	911 Carrera 4 Cabrio TECHART	911 Carrera 4 Cabrio TECHART	PORSCHE 911 Carrera 4 Cabrio TECHART	Cabriolet	3387	Zuzwil	304 g/km	null	12.0 l/100km	2	Allrad	5	1999	Benzin	300	schwarz	80400	"\"Ab MFK\""	4	Automat	blau	Blue	Occasion	Porsche	12.0	l/100km
Occasion	silber mét.	1010.0	MERCEDES-BENZ	E 55 AMG	E 55 AMG Avantgarde	E 55 AMG Avantgarde	MERCEDES-BENZ E 55 AMG Avantgarde	Limousine	5439	Zuzwil	310 g/km	G	12.9 l/100km	4	Hinterradantrieb	11	2002	Benzin	476	schwarz	53800	"\"Ab MFK\""	5	Automat sequentiell	silber	Silver	Occasion	Mercedes-benz	12.9	l/100km
Occasion	silber mét.	1011.0	AUDI	RS6	RS6 Avant quattro	RS6 Avant quattro	AUDI RS6 Avant quattro	Kombi	4172	Zuzwil	350 g/km	G	14.6 l/100km	5	Allrad	12	2002	Benzin	450	schwarz	47400	"\"Ab MFK\""	5	Automat sequentiell	silber	Silver	Occasion	Audi	14.6	l/100km
Occasion	silber mét.	1012.0	LAMBORGHINI	DIABLO	Diablo 5.7 VT	Diablo 5.7 VT	LAMBORGHINI Diablo 5.7 VT	Coupé	5707	Zuzwil	null	null	null	2	Allrad	8	1993	Benzin	492	schwarz	14990	"\"Ab MFK\""	2	Schaltgetriebe manuell	silber	Silver	Occasion	Lamborghini	null	""
Occasion	silber mét.	1013.0	MERCEDES-BENZ	""	300SL Roadster	300SL Roadster	MERCEDES-BENZ 300SL Roadster	Cabriolet	2995	Sursee	null	null	null	2	null	3	1960	Benzin	215	braun	1000	null	2	null	silber	Silver	Occasion	Mercedes-benz	null	""
