make	model	model_variant	color	condition	city
Mercedes-benz	E 320	E 320 Elégance 4-Matic	Anthracite	Occasion	Zuzwil
Lamborghini	""	Espada GT 400 Serie 3	Anthracite	Antique Car	Zuzwil
Ferrari	F360	F360 Modena Berlinetta	Blue	Occasion	Zuzwil
Alfa Romeo	8C	null	Silver	Occasion	Porrentruy
Bmw	2002	Turbo	Silver	Occasion	Zuzwil
Datsun	""	SPORTS 2000	Silver	Occasion	Zuzwil
Audi	A8	A8 4.2 quattro	Silver	Occasion	Zuzwil
Lamborghini	GALLARDO	Gallardo 5.0 V10 Coupé SE	Silver	Occasion	Zuzwil
Mercedes-benz	280	3.5 V8 Cabrio	Silver	Occasion	Sursee
Mercedes-benz	SL 320	SL 320	Silver	Occasion	Zuzwil
Porsche	CAYENNE	Cayenne Turbo	Silver	Occasion	Zuzwil
Bmw	745	745i	Silver	Occasion	Zuzwil
Porsche	911	911 Carrera 2 RS	Silver	Occasion	Zuzwil
Porsche	911	911 Carrera 4 Cabrio TECHART	Blue	Occasion	Zuzwil
Mercedes-benz	E 55 AMG	E 55 AMG Avantgarde	Silver	Occasion	Zuzwil
Audi	RS6	RS6 Avant quattro	Silver	Occasion	Zuzwil
Lamborghini	DIABLO	Diablo 5.7 VT	Silver	Occasion	Zuzwil
Mercedes-benz	""	300SL Roadster	Silver	Occasion	Sursee
Alfa Romeo	8C	Coupé	Silver	Occasion	Zuzwil
Mercedes-benz	ML 400	ML 400 CDI	Silver	Occasion	Zuzwil
Vw	GOLF	Golf 2.0 TFSI GTI	Silver	Occasion	Zuzwil
Vw	JETTA	Jetta 2.0 TDI Comfort	Silver	Occasion	Zuzwil
Mercedes-benz	190	190 E 2.5-16 ABS	Silver	Occasion	Zuzwil
Wiesmann	COUPE	GT MF5	Silver	Occasion	Zuzwil
Porsche	911	911 Turbo Cabrio	Blue	Occasion	Zuzwil
Bmw	Z4	Z4 M Coupé	Silver	Demonstration Model	Zuzwil
Renault	Alpine A110	1300S	Silver	Occasion	Zuzwil
Maserati	COUPÉ GT	Coupé GT	Silver	Occasion	Zuzwil
Renault	ALPINE	1600 VF	Silver	Antique Car	Zuzwil
Audi	A8	A8 4.2 quattro	Silver	Occasion	Zuzwil
Chevrolet	CORVETTE	Corvette Z06	Silver	Occasion	Zuzwil
Toyota	COROLLA	Corolla 1600 GTi TC16	Silver	Occasion	Zuzwil
Mercedes-benz	CLK 55 AMG	CLK 55 AMG Avantgarde	Silver	Occasion	Zuzwil
Audi	S7	S7 Sportback 4.0 TFSI V8 quattro	Silver	Occasion	Zuzwil
Bentley	ARNAGE	Arnage T	Silver	Occasion	Basel
Audi	RS4	RS4 4.2 V8 quattro	Blue	Occasion	Zuzwil
Mercedes-benz	E 55 AMG	E 55 AMG Avantgarde	Silver	Occasion	Zuzwil
Porsche	911	911 Turbo	Silver	Occasion	Zuzwil
Bmw	645	645i	Silver	Occasion	Zuzwil
Porsche	911	911 GT3	Silver	Occasion	Zuzwil
Mercedes-benz	E 420	E 420 Avantgarde	Silver	Occasion	Zuzwil
Porsche	911	911 Carrera 4 S	Silver	Occasion	Zuzwil
Aston Martin	DB9	DB9 Volante	Silver	Occasion	Zuzwil
Triumph	Dolomite	Sprint	Silver	Occasion	Zuzwil
Mercedes-benz	SL 500	SL 500	Silver	Occasion	Zuzwil
Bmw	M6	M6	Silver	Occasion	Zuzwil
Audi	RS4	RS4 Avant quattro	Blue	Occasion	Zuzwil
Porsche	911	911 GT2	Silver	Occasion	Zuzwil
Renault	ALPINE	Alpine A310 V6	Silver	Occasion	Zuzwil
Toyota	CELICA	1600 GT DOHC	Silver	Antique Car	Zuzwil
Vw	PHAETON	Phaeton 6.0 W12 4Motion	Silver	Occasion	Zuzwil
Ferrari	F430	F430 Scuderia	Silver	Occasion	Zuzwil
Mercedes-benz	190	190 E 2.5-16 ABS	Silver	Occasion	Zuzwil
Bmw	750	750i	Silver	Occasion	Zuzwil
Porsche	911	911 Carrera S	Silver	Occasion	Zuzwil
Ferrari	MONDIAL	Mondial 3.4 T	Silver	Occasion	Zuzwil
Bmw	X5	X5 4.4i	Silver	Occasion	Zuzwil
Ferrari	F12	F12 Berlinetta	Blue	Occasion	Zuzwil
Ford	ESCORT	RS 2000	Silver	Occasion	Zuzwil
Mercedes-benz	SL 320	SL 320	Silver	Occasion	Zuzwil
Porsche	911	911 Carrera 4S	Silver	Occasion	Zuzwil
Toyota	LAND CRUISER	FJ 40	Silver	Occasion	Zuzwil
Mercedes-benz	SL 500	SL 500	Silver	Occasion	Zuzwil
Renault	Alpine A110	1600S	Silver	Occasion	Zuzwil
Datsun	280	ZX	Silver	Occasion	Zuzwil
Porsche	911	911 GT2	Silver	Occasion	Zuzwil
Lamborghini	MURCIÉLAGO	Murciélago 6.2 Coupé	Silver	Occasion	Porrentruy
Mercedes-benz	ML 350	ML 350 Inspiration	Silver	Occasion	Zuzwil
Audi	A8	A8 4.2 quattro	Blue	Occasion	Zuzwil
Porsche	911	911 Turbo	Silver	Occasion	Zuzwil
Bmw	M3	M3 CSL	Silver	Occasion	Zuzwil
Mitsubishi	LANCER	EVO V	Silver	Occasion	Zuzwil
Mercedes-benz	""	6.7 BRABUS	Silver	Occasion	Zuzwil
Porsche	911	911 Carrera 4	Silver	Occasion	Zuzwil
Audi	TT	TT Roadster 1.8 T	Silver	Occasion	Zuzwil
Audi	A8	A8 4.2 quattro	Silver	Occasion	Zuzwil
Renault	Alpine A110	1300	Silver	Occasion	Zuzwil
Maserati	QUATTROPORTE	Quattroporte 4.2	Silver	Occasion	Zuzwil
Mercedes-benz	SL 500	SL 500	Silver	Occasion	Zuzwil
Bentley	ARNAGE	Arnage Red Label	Blue	Occasion	Zuzwil
Bentley	CONTINENTAL	Continental GT Speed 6.0	Silver	Occasion	St. Gallen
Jaguar	""	D-Type XKD525	Violet	Occasion	Zuzwil
Chevrolet	CORVETTE	C2	Violet	Occasion	Zuzwil
Renault	R5	R5 1400 Alpine Turbo	Violet	Occasion	Zuzwil
Mercedes-benz	E 50 AMG	E 50 AMG Avantgarde	Violet	Occasion	Zuzwil
Lamborghini	DIABLO	Diablo 5.7 SV	Violet	Occasion	Porrentruy
Mercedes-benz	S 500	S 500	Violet	Occasion	Zuzwil
Maserati	COUPÉ GT	Coupé GT	White	Occasion	Zuzwil
Aston Martin	V8 Vantage	V8 Vantage 4.7	White	Demonstration Model	Zuzwil
Mercedes-benz	ML 400	ML 400 CDI	White	Occasion	Zuzwil
Audi	RS6	RS6 Avant 4.0 TFSI V8 qu	Blue	New	Zuzwil
Triumph	Dolomite	Sprint	White	Occasion	Zuzwil
Porsche	CAYENNE	Cayenne S	White	Occasion	Zuzwil
Maserati	SPYDER GT	Spyder GT	White	Occasion	Zuzwil
Audi	A4	A4 3.0 V6	White	Occasion	Zuzwil
Audi	A8	A8 4.2 quattro	White	Occasion	Zuzwil
Renault	ALPINE	A310 2700 VA	White	Antique Car	Zuzwil
Ferrari	575M	575M	White	Occasion	Zuzwil
Mercedes-benz	SL 600	SL 600	White	Occasion	Zuzwil
Mercedes-benz	CLK 55 AMG	CLK 55 AMG Avantgarde	White	Occasion	Zuzwil
Porsche	CAYENNE	Cayenne Turbo	White	New	Zuzwil
Maserati	COUPÉ GT	Coupé GT	Blue	Occasion	Zuzwil
Bmw	330	330i	White	Occasion	Zuzwil
Mercedes-benz	CL 600	CL 600	White	Occasion	Zuzwil
Audi	A8	A8 4.2 quattro	White	Occasion	Zuzwil
Porsche	911	911 Turbo S Cabrio	White	Occasion	Zuzwil
Mclaren	12C	MP4-12C Coupé 3.8 V8	White	Occasion	Zuzwil
Ferrari	458	458 Spider Italia 4.5 V8	White	Occasion	Zuzwil
Audi	RS6	RS6 Avant 5.0 V10 quattro	White	Occasion	Zuzwil
Ferrari	599	599 GTB	White	Occasion	Zuzwil
Mercedes-benz	S 63 AMG	S 63 AMG L	White	Occasion	Zuzwil
Chevrolet	CORVETTE	C1	White	Occasion	Zuzwil
Ruf	""	RT 12	Anthracite	Occasion	Zuzwil
Audi	RS6	RS6 Avant quattro	Blue	Occasion	Zuzwil
Mercedes-benz	S 500	S 500 4Matic	White	Occasion	Zuzwil
Bentley	ARNAGE	Arnage Green Label	White	Occasion	Zuzwil
Bmw	740	740i	White	Occasion	Zuzwil
De Tomaso	PANTERA	null	White	Occasion	Zuzwil
Jaguar	XJ	XJR 4.0 Supercharged	White	Occasion	Zuzwil
Mercedes-benz	ML 500	ML 500 4Matic	White	Occasion	Zuzwil
Delorean	""	De Lorean DMC-12	White	Occasion	Zuzwil
Porsche	PANAMERA	Panamera Turbo 4.8	White	Occasion	Zuzwil
Autobianchi	A112	Abarth Serie II	White	Occasion	Zuzwil
Alfa Romeo	SPIDER	1300 Junior	White	Antique Car	Zuzwil
Vw	PHAETON	Phaeton 6.0 W12 4Motion	Blue	Occasion	Zuzwil
Chevrolet	Silverado	2500HD 6.6l V8	White	Occasion	Zuzwil
Mercedes-benz	CL 600	CL 600	White	Occasion	Zuzwil
Bentley	ARNAGE	Red Label	White	Occasion	Zuzwil
Mercedes-benz	CL 600	CL 600	White	Occasion	Zuzwil
Renault	ALPINE	Alpine V6 Turbo	White	Occasion	Zuzwil
Mercedes-benz	CLS 500	CLS 500	White	Occasion	Zuzwil
Mercedes-benz	CLS 63 AMG	CLS 63 AMG	White	Occasion	Zuzwil
Hummer	H3	H3 3.7 Adventure	White	Demonstration Model	Zuzwil
